codigo,campo,uf,ano,valor,origem,atualizadoEm,por,nota
AREA,,AC,,164064.761,migracao,2026-09-13,migracao,
AREA,,AM,,1558704.331,migracao,2026-09-13,migracao,
AREA,,AP,,142253.88,migracao,2026-09-13,migracao,
AREA,,MA,,329651.463,migracao,2026-09-13,migracao,
AREA,,MT,,903208.027,migracao,2026-09-13,migracao,
AREA,,PA,,1245831.512,migracao,2026-09-13,migracao,
AREA,,RO,,237753.439,migracao,2026-09-13,migracao,
AREA,,RR,,223505.058,migracao,2026-09-13,migracao,
AREA,,TO,,277423.625,migracao,2026-09-13,migracao,
F3.2,,AC,,177291,migracao,2026-09-13,migracao,
F3.2,,AC,2023,172265,migracao,2026-09-13,migracao,
F3.2,,AC,2024,177291,migracao,2026-09-13,migracao,
F3.2,,AM,,793706,migracao,2026-09-13,migracao,
F3.2,,AM,2023,776964,migracao,2026-09-13,migracao,
F3.2,,AM,2024,793706,migracao,2026-09-13,migracao,
F3.2,,AP,,152991,migracao,2026-09-13,migracao,
F3.2,,AP,2023,154513,migracao,2026-09-13,migracao,
F3.2,,AP,2024,152991,migracao,2026-09-13,migracao,
F3.2,,MA,,969147,migracao,2026-09-13,migracao,
F3.2,,MA,2023,948843,migracao,2026-09-13,migracao,
F3.2,,MA,2024,969147,migracao,2026-09-13,migracao,
F3.2,,MT,,1194886,migracao,2026-09-13,migracao,
F3.2,,MT,2023,1129867,migracao,2026-09-13,migracao,
F3.2,,MT,2024,1194886,migracao,2026-09-13,migracao,
F3.2,,PA,,1431632,migracao,2026-09-13,migracao,
F3.2,,PA,2023,1396509,migracao,2026-09-13,migracao,
F3.2,,PA,2024,1431632,migracao,2026-09-13,migracao,
F3.2,,RO,,407713,migracao,2026-09-13,migracao,
F3.2,,RO,2023,389151,migracao,2026-09-13,migracao,
F3.2,,RO,2024,407713,migracao,2026-09-13,migracao,
F3.2,,RR,,146857,migracao,2026-09-13,migracao,
F3.2,,RR,2023,143519,migracao,2026-09-13,migracao,
F3.2,,RR,2024,146857,migracao,2026-09-13,migracao,
F3.2,,TO,,404248,migracao,2026-09-13,migracao,
F3.2,,TO,2023,375427,migracao,2026-09-13,migracao,
F3.2,,TO,2024,404248,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2023,AC,,11994,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2023,AM,,38181,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2023,AP,,8954,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2023,MA,,70221,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2023,MT,,149926,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2023,PA,,96238,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2023,RO,,48718,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2023,RR,,9420,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2023,TO,,43507,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2024,AC,,12547,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2024,AM,,40636,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2024,AP,,9649,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2024,MA,,74981,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2024,MT,,159934,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2024,PA,,101703,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2024,RO,,51098,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2024,RR,,10101,migracao,2026-09-13,migracao,
F3.2,estabelecimentos2024,TO,,46375,migracao,2026-09-13,migracao,
F3.2,variacaoVinculosPct,AC,,2.9,migracao,2026-09-13,migracao,
F3.2,variacaoVinculosPct,AM,,2.2,migracao,2026-09-13,migracao,
F3.2,variacaoVinculosPct,AP,,-1,migracao,2026-09-13,migracao,
F3.2,variacaoVinculosPct,MA,,2.1,migracao,2026-09-13,migracao,
F3.2,variacaoVinculosPct,MT,,5.8,migracao,2026-09-13,migracao,
F3.2,variacaoVinculosPct,PA,,2.5,migracao,2026-09-13,migracao,
F3.2,variacaoVinculosPct,RO,,4.8,migracao,2026-09-13,migracao,
F3.2,variacaoVinculosPct,RR,,2.3,migracao,2026-09-13,migracao,
F3.2,variacaoVinculosPct,TO,,7.7,migracao,2026-09-13,migracao,
F3.5,,AC,,925342,migracao,2026-09-13,migracao,
F3.5,,AC,2015,394082,migracao,2026-09-13,migracao,
F3.5,,AC,2016,398946,migracao,2026-09-13,migracao,
F3.5,,AC,2017,279200,migracao,2026-09-13,migracao,
F3.5,,AC,2018,328683,migracao,2026-09-13,migracao,
F3.5,,AC,2019,317261,migracao,2026-09-13,migracao,
F3.5,,AC,2020,320242,migracao,2026-09-13,migracao,
F3.5,,AC,2021,496073,migracao,2026-09-13,migracao,
F3.5,,AC,2022,628889,migracao,2026-09-13,migracao,
F3.5,,AC,2023,649323,migracao,2026-09-13,migracao,
F3.5,,AC,2024,925342,migracao,2026-09-13,migracao,
F3.5,,AM,,75577158,migracao,2026-09-13,migracao,
F3.5,,AM,2015,35914870,migracao,2026-09-13,migracao,
F3.5,,AM,2016,35525846,migracao,2026-09-13,migracao,
F3.5,,AM,2017,37418241,migracao,2026-09-13,migracao,
F3.5,,AM,2018,40137037,migracao,2026-09-13,migracao,
F3.5,,AM,2019,40949882,migracao,2026-09-13,migracao,
F3.5,,AM,2020,43511856,migracao,2026-09-13,migracao,
F3.5,,AM,2021,55427911,migracao,2026-09-13,migracao,
F3.5,,AM,2022,62763507,migracao,2026-09-13,migracao,
F3.5,,AM,2023,62646346,migracao,2026-09-13,migracao,
F3.5,,AM,2024,75577158,migracao,2026-09-13,migracao,
F3.5,,AP,,592145,migracao,2026-09-13,migracao,
F3.5,,AP,2015,488161,migracao,2026-09-13,migracao,
F3.5,,AP,2016,535311,migracao,2026-09-13,migracao,
F3.5,,AP,2017,309766,migracao,2026-09-13,migracao,
F3.5,,AP,2018,527946,migracao,2026-09-13,migracao,
F3.5,,AP,2019,275830,migracao,2026-09-13,migracao,
F3.5,,AP,2020,963936,migracao,2026-09-13,migracao,
F3.5,,AP,2021,479986,migracao,2026-09-13,migracao,
F3.5,,AP,2022,419783,migracao,2026-09-13,migracao,
F3.5,,AP,2023,514770,migracao,2026-09-13,migracao,
F3.5,,AP,2024,592145,migracao,2026-09-13,migracao,
F3.5,,MA,,14534906,migracao,2026-09-13,migracao,
F3.5,,MA,2015,7031763,migracao,2026-09-13,migracao,
F3.5,,MA,2016,6221886,migracao,2026-09-13,migracao,
F3.5,,MA,2017,7075188,migracao,2026-09-13,migracao,
F3.5,,MA,2018,8776336,migracao,2026-09-13,migracao,
F3.5,,MA,2019,8192158,migracao,2026-09-13,migracao,
F3.5,,MA,2020,11219119,migracao,2026-09-13,migracao,
F3.5,,MA,2021,14129981,migracao,2026-09-13,migracao,
F3.5,,MA,2022,13156044,migracao,2026-09-13,migracao,
F3.5,,MA,2023,12319388,migracao,2026-09-13,migracao,
F3.5,,MA,2024,14534906,migracao,2026-09-13,migracao,
F3.5,,MT,,41521382,migracao,2026-09-13,migracao,
F3.5,,MT,2015,15762391,migracao,2026-09-13,migracao,
F3.5,,MT,2016,14433467,migracao,2026-09-13,migracao,
F3.5,,MT,2017,13967971,migracao,2026-09-13,migracao,
F3.5,,MT,2018,17059633,migracao,2026-09-13,migracao,
F3.5,,MT,2019,17805064,migracao,2026-09-13,migracao,
F3.5,,MT,2020,24049984,migracao,2026-09-13,migracao,
F3.5,,MT,2021,32463303,migracao,2026-09-13,migracao,
F3.5,,MT,2022,41065895,migracao,2026-09-13,migracao,
F3.5,,MT,2023,38526666,migracao,2026-09-13,migracao,
F3.5,,MT,2024,41521382,migracao,2026-09-13,migracao,
F3.5,,PA,,70146964,migracao,2026-09-13,migracao,
F3.5,,PA,2015,26731282,migracao,2026-09-13,migracao,
F3.5,,PA,2016,28139815,migracao,2026-09-13,migracao,
F3.5,,PA,2017,38175713,migracao,2026-09-13,migracao,
F3.5,,PA,2018,45291481,migracao,2026-09-13,migracao,
F3.5,,PA,2019,56812895,migracao,2026-09-13,migracao,
F3.5,,PA,2020,91708270,migracao,2026-09-13,migracao,
F3.5,,PA,2021,109838666,migracao,2026-09-13,migracao,
F3.5,,PA,2022,66637357,migracao,2026-09-13,migracao,
F3.5,,PA,2023,62596977,migracao,2026-09-13,migracao,
F3.5,,PA,2024,70146964,migracao,2026-09-13,migracao,
F3.5,,RO,,6091511,migracao,2026-09-13,migracao,
F3.5,,RO,2015,2763391,migracao,2026-09-13,migracao,
F3.5,,RO,2016,3048106,migracao,2026-09-13,migracao,
F3.5,,RO,2017,2586505,migracao,2026-09-13,migracao,
F3.5,,RO,2018,2562647,migracao,2026-09-13,migracao,
F3.5,,RO,2019,2884253,migracao,2026-09-13,migracao,
F3.5,,RO,2020,3301806,migracao,2026-09-13,migracao,
F3.5,,RO,2021,3880047,migracao,2026-09-13,migracao,
F3.5,,RO,2022,5534121,migracao,2026-09-13,migracao,
F3.5,,RO,2023,5910248,migracao,2026-09-13,migracao,
F3.5,,RO,2024,6091511,migracao,2026-09-13,migracao,
F3.5,,RR,,378434,migracao,2026-09-13,migracao,
F3.5,,RR,2015,91620,migracao,2026-09-13,migracao,
F3.5,,RR,2016,127681,migracao,2026-09-13,migracao,
F3.5,,RR,2017,107185,migracao,2026-09-13,migracao,
F3.5,,RR,2018,91547,migracao,2026-09-13,migracao,
F3.5,,RR,2019,92021,migracao,2026-09-13,migracao,
F3.5,,RR,2020,131162,migracao,2026-09-13,migracao,
F3.5,,RR,2021,192154,migracao,2026-09-13,migracao,
F3.5,,RR,2022,203548,migracao,2026-09-13,migracao,
F3.5,,RR,2023,250891,migracao,2026-09-13,migracao,
F3.5,,RR,2024,378434,migracao,2026-09-13,migracao,
F3.5,,TO,,5597138,migracao,2026-09-13,migracao,
F3.5,,TO,2015,1488246,migracao,2026-09-13,migracao,
F3.5,,TO,2016,1502456,migracao,2026-09-13,migracao,
F3.5,,TO,2017,1900422,migracao,2026-09-13,migracao,
F3.5,,TO,2018,1503851,migracao,2026-09-13,migracao,
F3.5,,TO,2019,1543897,migracao,2026-09-13,migracao,
F3.5,,TO,2020,2085879,migracao,2026-09-13,migracao,
F3.5,,TO,2021,3312199,migracao,2026-09-13,migracao,
F3.5,,TO,2022,4516648,migracao,2026-09-13,migracao,
F3.5,,TO,2023,4739960,migracao,2026-09-13,migracao,
F3.5,,TO,2024,5597138,migracao,2026-09-13,migracao,
F3.5,empresas2024,AC,,242,migracao,2026-09-13,migracao,
F3.5,empresas2024,AM,,1199,migracao,2026-09-13,migracao,
F3.5,empresas2024,AP,,220,migracao,2026-09-13,migracao,
F3.5,empresas2024,MA,,1369,migracao,2026-09-13,migracao,
F3.5,empresas2024,MT,,3623,migracao,2026-09-13,migracao,
F3.5,empresas2024,PA,,2307,migracao,2026-09-13,migracao,
F3.5,empresas2024,RO,,1198,migracao,2026-09-13,migracao,
F3.5,empresas2024,RR,,187,migracao,2026-09-13,migracao,
F3.5,empresas2024,TO,,773,migracao,2026-09-13,migracao,
F3.5,pessoalOcupado2024,AC,,6435,migracao,2026-09-13,migracao,
F3.5,pessoalOcupado2024,AM,,127254,migracao,2026-09-13,migracao,
F3.5,pessoalOcupado2024,AP,,5032,migracao,2026-09-13,migracao,
F3.5,pessoalOcupado2024,MA,,47326,migracao,2026-09-13,migracao,
F3.5,pessoalOcupado2024,MT,,126489,migracao,2026-09-13,migracao,
F3.5,pessoalOcupado2024,PA,,127208,migracao,2026-09-13,migracao,
F3.5,pessoalOcupado2024,RO,,32783,migracao,2026-09-13,migracao,
F3.5,pessoalOcupado2024,RR,,3824,migracao,2026-09-13,migracao,
F3.5,pessoalOcupado2024,TO,,22080,migracao,2026-09-13,migracao,
F3.5,unidadesLocais2024,AC,,269,migracao,2026-09-13,migracao,
F3.5,unidadesLocais2024,AM,,1304,migracao,2026-09-13,migracao,
F3.5,unidadesLocais2024,AP,,228,migracao,2026-09-13,migracao,
F3.5,unidadesLocais2024,MA,,1460,migracao,2026-09-13,migracao,
F3.5,unidadesLocais2024,MT,,3914,migracao,2026-09-13,migracao,
F3.5,unidadesLocais2024,PA,,2578,migracao,2026-09-13,migracao,
F3.5,unidadesLocais2024,RO,,1283,migracao,2026-09-13,migracao,
F3.5,unidadesLocais2024,RR,,200,migracao,2026-09-13,migracao,
F3.5,unidadesLocais2024,TO,,812,migracao,2026-09-13,migracao,
F3.5,variacao2023_24Pct,AC,,42.5,migracao,2026-09-13,migracao,
F3.5,variacao2023_24Pct,AM,,20.6,migracao,2026-09-13,migracao,
F3.5,variacao2023_24Pct,AP,,15,migracao,2026-09-13,migracao,
F3.5,variacao2023_24Pct,MA,,18,migracao,2026-09-13,migracao,
F3.5,variacao2023_24Pct,MT,,7.8,migracao,2026-09-13,migracao,
F3.5,variacao2023_24Pct,PA,,12.1,migracao,2026-09-13,migracao,
F3.5,variacao2023_24Pct,RO,,3.1,migracao,2026-09-13,migracao,
F3.5,variacao2023_24Pct,RR,,50.8,migracao,2026-09-13,migracao,
