uf,cod_municipio,municipio,esf,equipes,populacao,equipes_por_100mil,cobertura_pct
AC,120001,ACRELÂNDIA,6.0,6.0,14712.0,40.8,142.74
AC,120005,ASSIS BRASIL,3.0,5.0,8648.0,57.8,182.12
AC,120010,BRASILÉIA,9.0,9.0,28028.0,32.1,112.38
AC,120013,BUJARI,4.0,4.0,13928.0,28.7,100.51
AC,120017,CAPIXABA,5.0,6.0,10981.0,54.6,183.27
AC,120020,CRUZEIRO DO SUL,37.0,41.0,98916.0,41.4,141.53
AC,120025,EPITACIOLÂNDIA,8.0,10.0,19874.0,50.3,167.3
AC,120030,FEIJÓ,9.0,9.0,37764.0,23.8,83.41
AC,120032,JORDÃO,2.0,2.0,9884.0,20.2,70.82
AC,120034,MANOEL URBANO,4.0,4.0,12923.0,31.0,108.33
AC,120035,MARECHAL THAUMATURGO,4.0,4.0,18057.0,22.2,77.53
AC,120033,MÂNCIO LIMA,7.0,8.0,20479.0,39.1,132.45
AC,120038,PLÁCIDO DE CASTRO,8.0,8.0,17107.0,46.8,163.67
AC,120080,PORTO ACRE,5.0,5.0,17523.0,28.5,99.86
AC,120039,PORTO WALTER,4.0,4.0,11333.0,35.3,123.53
AC,120040,RIO BRANCO,84.0,104.0,389001.0,26.7,88.84
AC,120042,RODRIGUES ALVES,9.0,9.0,15560.0,57.8,202.44
AC,120043,SANTA ROSA DO PURUS,3.0,3.0,7217.0,41.6,145.48
AC,120050,SENA MADUREIRA,13.0,13.0,44049.0,29.5,103.29
AC,120045,SENADOR GUIOMARD,8.0,8.0,22402.0,35.7,124.98
AC,120060,TARAUACÁ,13.0,13.0,46816.0,27.8,97.18
AC,120070,XAPURI,9.0,10.0,19170.0,52.2,178.01
AM,130002,ALVARÃES,6.0,6.0,16806.0,35.7,124.95
AM,130006,AMATURÁ,5.0,5.0,11533.0,43.4,151.73
AM,130008,ANAMÃ,7.0,7.0,9981.0,70.1,245.46
AM,130010,ANORI,7.0,7.0,18056.0,38.8,135.68
AM,130014,APUÍ,9.0,9.0,21781.0,41.3,144.62
AM,130020,ATALAIA DO NORTE,9.0,9.0,15889.0,56.6,198.25
AM,130030,AUTAZES,10.0,10.0,45960.0,21.8,76.15
AM,130040,BARCELOS,9.0,9.0,18210.0,49.4,172.98
AM,130050,BARREIRINHA,7.0,7.0,33722.0,20.8,72.65
AM,130060,BENJAMIN CONSTANT,15.0,15.0,40908.0,36.7,128.33
AM,130063,BERURI,7.0,7.0,22495.0,31.1,108.91
AM,130068,BOA VISTA DO RAMOS,3.0,3.0,26479.0,11.3,39.65
AM,130070,BOCA DO ACRE,9.0,9.0,38792.0,23.2,81.2
AM,130080,BORBA,9.0,9.0,34869.0,25.8,90.33
AM,130083,CAAPIRANGA,6.0,6.0,14806.0,40.5,141.83
AM,130090,CANUTAMA,6.0,6.0,18109.0,33.1,115.96
AM,130100,CARAUARI,7.0,7.0,31130.0,22.5,78.7
AM,130110,CAREIRO,7.0,7.0,32336.0,21.6,75.76
AM,130115,CAREIRO DA VÁRZEA,2.0,2.0,20324.0,9.8,34.44
AM,130120,COARI,35.0,35.0,73576.0,47.6,166.49
AM,130130,CODAJÁS,9.0,9.0,24572.0,36.6,128.19
AM,130140,EIRUNEPÉ,9.0,9.0,35793.0,25.1,88.0
AM,130150,ENVIRA,10.0,10.0,17985.0,55.6,194.6
AM,130160,FONTE BOA,6.0,6.0,28227.0,21.3,74.39
AM,130165,GUAJARÁ,6.0,6.0,14344.0,41.8,146.4
AM,130170,HUMAITÁ,17.0,18.0,63454.0,28.4,96.52
AM,130180,IPIXUNA,12.0,12.0,25629.0,46.8,163.87
AM,130185,IRANDUBA,12.0,12.0,68862.0,17.4,60.99
AM,130190,ITACOATIARA,29.0,29.0,113917.0,25.5,89.09
AM,130195,ITAMARATI,3.0,3.0,11956.0,25.1,87.82
AM,130200,ITAPIRANGA,5.0,5.0,10955.0,45.6,159.74
AM,130210,JAPURÁ,4.0,4.0,9420.0,42.5,148.61
AM,130220,JURUÁ,6.0,6.0,11093.0,54.1,189.3
AM,130230,JUTAÍ,10.0,10.0,28202.0,35.5,124.1
AM,130240,LÁBREA,25.0,25.0,49469.0,50.5,176.87
AM,130250,MANACAPURU,30.0,31.0,111751.0,27.7,96.3
AM,130255,MANAQUIRI,8.0,8.0,16211.0,49.3,172.72
AM,130260,MANAUS,362.0,477.0,2303732.0,20.7,64.87
AM,130270,MANICORÉ,17.0,17.0,58018.0,29.3,102.55
