uf,ano,mes,metodologia,esf,eap,equipes,populacao,cobertura
RO,2007,7,AB,153.0,,,1562417.0,33.37
RO,2007,8,AB,183.0,,,1562417.0,49.6
RO,2007,9,AB,194.0,,,1562417.0,51.57
RO,2007,10,AB,202.0,,,1562417.0,52.49
RO,2007,11,AB,208.0,,,1562417.0,53.19
RO,2007,12,AB,210.0,,,1562417.0,53.54
RO,2008,1,AB,211.0,,,1453756.0,56.34
RO,2008,2,AB,209.0,,,1453756.0,55.88
RO,2008,3,AB,208.0,,,1453756.0,56.67
RO,2008,4,AB,225.0,,,1453756.0,60.63
RO,2008,5,AB,226.0,,,1453756.0,60.64
RO,2008,6,AB,230.0,,,1453756.0,61.79
RO,2008,7,AB,231.0,,,1453756.0,61.85
RO,2008,8,AB,231.0,,,1453756.0,62.09
RO,2008,9,AB,232.0,,,1453756.0,62.47
RO,2008,10,AB,232.0,,,1453756.0,62.3
RO,2008,11,AB,232.0,,,1453756.0,62.2
RO,2008,12,AB,231.0,,,1453756.0,61.82
RO,2009,1,AB,230.0,,,1493566.0,60.76
RO,2009,2,AB,228.0,,,1493566.0,60.16
RO,2009,3,AB,230.0,,,1493566.0,60.95
RO,2009,4,AB,230.0,,,1493566.0,60.1
RO,2009,5,AB,235.0,,,1493566.0,61.2
RO,2009,6,AB,233.0,,,1493566.0,61.74
RO,2009,7,AB,232.0,,,1493566.0,61.28
RO,2009,8,AB,243.0,,,1493566.0,62.56
RO,2009,9,AB,248.0,,,1493566.0,63.65
RO,2009,10,AB,246.0,,,1493566.0,63.63
RO,2009,11,AB,247.0,,,1493566.0,63.76
RO,2009,12,AB,249.0,,,1493566.0,63.86
RO,2010,1,AB,249.0,,,1503928.0,63.91
RO,2010,2,AB,251.0,,,1503928.0,64.6
RO,2010,3,AB,254.0,,,1503928.0,65.45
RO,2010,4,AB,260.0,,,1503928.0,65.76
RO,2010,5,AB,260.0,,,1503928.0,65.91
RO,2010,6,AB,259.0,,,1503928.0,66.24
RO,2010,7,AB,261.0,,,1503928.0,67.12
RO,2010,8,AB,264.0,,,1503928.0,68.05
RO,2010,9,AB,267.0,,,1503928.0,67.81
RO,2010,10,AB,267.0,,,1503928.0,68.48
RO,2010,11,AB,270.0,,,1503928.0,66.45
RO,2010,12,AB,273.0,,,1503928.0,66.86
RO,2011,1,AB,277.0,,,1562409.0,64.89
RO,2011,2,AB,274.0,,,1562409.0,64.06
RO,2011,3,AB,278.0,,,1562409.0,65.17
RO,2011,4,AB,280.0,,,1562409.0,65.7
RO,2011,5,AB,281.0,,,1562409.0,65.35
RO,2011,6,AB,281.0,,,1562409.0,65.54
RO,2011,7,AB,282.0,,,1562409.0,65.45
RO,2011,8,AB,283.0,,,1562409.0,65.6
RO,2011,9,AB,284.0,,,1562409.0,66.05
RO,2011,10,AB,283.0,,,1562409.0,65.46
RO,2011,11,AB,286.0,,,1562409.0,64.88
RO,2011,12,AB,288.0,,,1562409.0,65.29
RO,2012,1,AB,288.0,,,1576423.0,64.67
RO,2012,2,AB,290.0,,,1576423.0,64.58
RO,2012,3,AB,293.0,,,1576423.0,65.4
RO,2012,4,AB,293.0,,,1576423.0,66.5
RO,2012,5,AB,293.0,,,1576423.0,66.47
RO,2012,6,AB,296.0,,,1576423.0,67.45
RO,2012,7,AB,297.0,,,1576423.0,67.59
RO,2012,8,AB,297.0,,,1576423.0,66.98
RO,2012,9,AB,297.0,,,1576423.0,66.79
RO,2012,10,AB,297.0,,,1576423.0,66.85
RO,2012,11,AB,295.0,,,1576423.0,66.54
RO,2012,12,AB,291.0,,,1576423.0,66.21
RO,2013,1,AB,290.0,,,1590011.0,65.37
RO,2013,2,AB,300.0,,,1590011.0,66.44
RO,2013,3,AB,307.0,,,1590011.0,67.81
RO,2013,4,AB,308.0,,,1590011.0,68.44
RO,2013,5,AB,307.0,,,1590011.0,67.34
RO,2013,6,AB,303.0,,,1590011.0,67.5
