cod_municipio,ano,esgoto_adequado_pct,agua_rede_geral_pct,domicilios
1100015,2000,0.75,7.12,6658.0
1100015,2010,2.24,24.4,7270.0
1100015,2022,18.91,26.48,7695.0
1100023,2000,14.1,29.4,18527.0
1100023,2010,8.91,35.25,27166.0
1100023,2022,33.57,54.34,34768.0
1100031,2000,1.13,5.02,1952.0
1100031,2010,21.01,24.0,1975.0
1100031,2022,16.37,39.3,1967.0
1100049,2000,21.92,65.35,19322.0
1100049,2010,54.03,76.1,24215.0
1100049,2022,78.78,80.07,31917.0
1100056,2000,0.91,22.92,4847.0
1100056,2010,16.74,33.96,5348.0
1100056,2022,86.94,49.48,5873.0
1100064,2000,1.08,48.37,5737.0
1100064,2010,5.17,60.7,5959.0
1100064,2022,33.32,70.81,5991.0
1100072,2000,0.34,0.04,2627.0
1100072,2010,11.55,12.99,2649.0
1100072,2022,3.1,20.99,2840.0
1100080,2000,15.33,29.03,2387.0
1100080,2010,7.9,16.48,3696.0
1100080,2022,15.72,19.35,4161.0
1100098,2000,0.93,21.1,6591.0
1100098,2010,13.77,27.47,8683.0
1100098,2022,30.99,44.87,10470.0
1100106,2000,10.68,41.5,9033.0
1100106,2010,22.19,44.74,10684.0
1100106,2022,37.26,40.46,11803.0
1100114,2000,11.94,13.39,13566.0
1100114,2010,3.36,24.58,15910.0
1100114,2022,27.93,46.12,18947.0
1100122,2000,9.37,32.46,28084.0
1100122,2010,20.43,46.4,35567.0
1100122,2022,37.83,59.95,45016.0
1100130,2000,1.29,26.85,5564.0
1100130,2010,2.12,31.63,9154.0
1100130,2022,9.33,40.39,10841.0
1100148,2000,2.56,17.82,4221.0
1100148,2010,3.84,28.3,5916.0
1100148,2022,21.39,36.12,5798.0
1100155,2000,6.75,29.37,10659.0
1100155,2010,10.17,46.41,11652.0
1100155,2022,15.99,56.66,13323.0
1100189,2000,11.83,60.32,8427.0
1100189,2010,38.34,70.53,10037.0
1100189,2022,26.95,76.36,12351.0
1100205,2000,61.49,35.24,83682.0
1100205,2010,43.4,37.61,116863.0
1100205,2022,59.01,36.72,151905.0
1100254,2000,0.79,31.44,6803.0
1100254,2010,1.64,34.41,6842.0
1100254,2022,31.11,50.1,7230.0
1100262,2000,5.32,15.56,771.0
1100262,2010,22.57,8.12,997.0
1100262,2022,3.76,9.92,1250.0
1100288,2000,1.17,31.8,12628.0
1100288,2010,14.98,49.79,15790.0
1100288,2022,29.88,66.36,20991.0
1100296,2000,0.81,8.74,2965.0
1100296,2010,1.97,19.05,2746.0
1100296,2022,3.55,33.61,2758.0
1100304,2000,7.16,91.69,14506.0
1100304,2010,13.51,94.44,23506.0
1100304,2022,47.66,92.88,34975.0
1100320,2000,1.36,1.07,5791.0
1100320,2010,9.98,7.35,6391.0
1100320,2022,21.26,15.69,7884.0
1100338,2000,9.13,5.64,3264.0
1100338,2010,7.89,6.66,6377.0
1100338,2022,18.82,9.27,8447.0
1100346,2000,1.65,29.77,4981.0
1100346,2010,35.84,44.06,5011.0
1100346,2022,44.56,52.87,4814.0
1100379,2000,0.27,1.0,3001.0
1100379,2010,0.54,6.95,3696.0
1100379,2022,32.23,19.8,4036.0
1100403,2000,7.14,2.63,3040.0
1100403,2010,10.83,6.05,5071.0
1100403,2022,29.64,8.8,5762.0
1100452,2000,2.37,0.35,6025.0
1100452,2010,1.83,0.34,9476.0
1100452,2022,21.65,15.76,9905.0
1100502,2000,0.65,7.94,3059.0
1100502,2010,9.45,13.64,2983.0
1100502,2022,19.41,27.2,2798.0
1100601,2000,3.88,11.96,1313.0
1100601,2010,21.81,9.46,1692.0
1100601,2022,34.19,13.96,1483.0
1100700,2000,0.11,0.11,2678.0
1100700,2010,19.88,21.97,3637.0
1100700,2022,8.71,19.02,3066.0
1100809,2000,70.22,51.97,3167.0
1100809,2010,9.02,55.13,5685.0
1100809,2022,21.95,53.47,7431.0
1100908,2000,0.47,19.49,1057.0
1100908,2010,1.44,25.63,1108.0
1100908,2022,4.67,30.3,1198.0
1100924,2000,20.57,43.34,1449.0
1100924,2010,2.69,62.6,2345.0
1100924,2022,38.18,61.7,3206.0
1100940,2000,2.48,20.53,1612.0
1100940,2010,7.36,10.43,4591.0
1100940,2022,6.38,10.72,5203.0
1101005,2000,0.81,0.14,2958.0
1101005,2010,30.96,0.5,3007.0
1101005,2022,0.55,2.01,2890.0
1101104,2000,43.7,39.4,1698.0
1101104,2010,3.2,29.77,2533.0
1101104,2022,37.39,7.77,2910.0
1101203,2000,0.7,10.89,2708.0
1101203,2010,4.55,18.87,2925.0
1101203,2022,26.98,28.24,2383.0
1101302,2000,1.08,0.73,3145.0
1101302,2010,1.34,14.51,3515.0
1101302,2022,9.92,26.34,3508.0
1101401,2000,3.5,12.31,3029.0
1101401,2010,1.3,28.5,4067.0
1101401,2022,1.37,33.91,4223.0
1101435,2000,1.85,2.65,1998.0
1101435,2010,1.1,9.29,2100.0
1101435,2022,20.09,17.76,2230.0
1101450,2000,2.21,17.42,861.0
1101450,2010,0.65,26.85,1389.0
1101450,2022,7.49,30.36,1482.0
1101468,2000,2.75,1.07,654.0
1101468,2010,18.71,46.86,700.0
1101468,2022,16.35,47.57,740.0
1101476,2000,0.45,36.36,1100.0
1101476,2010,1.95,50.97,1079.0
1101476,2022,2.65,58.69,1133.0
1101484,2000,0.06,16.53,1712.0
1101484,2010,16.02,21.44,1810.0
1101484,2022,9.43,32.42,1962.0
1101492,2000,2.0,0.11,2702.0
1101492,2010,3.85,0.02,4728.0
1101492,2022,9.19,4.83,5799.0
1101500,2000,0.32,0.07,2793.0
1101500,2010,19.63,9.53,3357.0
1101500,2022,16.07,21.39,3951.0
1101559,2000,0.07,5.48,1388.0
1101559,2010,2.03,9.83,1475.0
1101559,2022,3.79,10.3,1582.0
1101609,2000,1.54,0.32,2535.0
1101609,2010,11.02,10.3,3068.0
1101609,2022,14.97,11.91,3007.0
1101708,2000,1.15,7.12,3555.0
1101708,2010,11.53,15.59,3920.0
1101708,2022,6.71,30.86,3950.0
1101757,2000,1.29,0.1,1938.0
1101757,2010,0.68,14.29,2806.0
1101757,2022,5.14,11.57,2800.0
1101807,2000,1.57,0.12,2426.0
1101807,2010,0.29,5.14,2432.0
1101807,2022,6.58,0.0,2446.0
1200013,2000,5.83,15.2,1869.0
1200013,2010,11.71,29.0,3459.0
1200013,2022,25.26,27.15,4461.0
1200054,2000,11.08,46.11,785.0
1200054,2010,24.82,49.71,1539.0
1200054,2022,18.05,56.55,2426.0
1200104,2000,14.79,23.79,4069.0
1200104,2010,29.63,55.77,5930.0
1200104,2022,46.34,61.3,8665.0
1200138,2000,17.2,23.76,1355.0
1200138,2010,19.36,40.13,2330.0
1200138,2022,19.08,40.21,4193.0
1200179,2000,9.06,4.61,1258.0
1200179,2010,34.0,39.06,2353.0
1200179,2022,18.66,39.13,3468.0
1200203,2000,21.4,28.24,13941.0
1200203,2010,13.9,51.36,18581.0
1200203,2022,25.95,66.58,26737.0
1200252,2000,13.87,46.4,2739.0
1200252,2010,21.2,60.42,4391.0
1200252,2022,39.85,61.94,6477.0
1200302,2000,13.48,5.39,5125.0
1200302,2010,10.3,13.5,7037.0
1200302,2022,8.71,17.29,9366.0
1200328,2000,8.89,4.37,709.0
1200328,2010,5.3,36.07,1303.0
1200328,2022,5.74,46.28,2003.0
1200336,2000,0.45,5.12,2225.0
1200336,2010,6.75,53.96,3586.0
1200336,2022,2.78,59.65,5678.0
1200344,2000,1.8,36.51,1219.0
1200344,2010,12.92,58.07,1858.0
1200344,2022,24.68,49.85,3242.0
1200351,2000,3.18,7.36,1480.0
1200351,2010,8.36,23.93,2750.0
1200351,2022,8.31,37.1,4321.0
