uf,ano,siga_reconstruido_mw,aneel_oficial_mw,erro_pct
AC,2006,1.7,141.8,-98.8
AC,2007,3.2,141.3,-97.7
AC,2008,4.4,141.4,-96.9
AC,2009,4.4,142.5,-96.9
AC,2010,4.7,133.0,-96.5
AC,2011,7.1,136.8,-94.8
AC,2012,7.8,165.5,-95.3
AC,2013,9.3,190.9,-95.1
AC,2014,9.3,190.9,-95.1
AC,2015,9.3,195.7,-95.3
AC,2016,72.7,258.3,-71.9
AC,2017,72.7,250.2,-70.9
AC,2018,72.7,115.7,-37.2
AC,2019,72.7,116.5,-37.6
AC,2020,72.7,72.7,-0.0
AC,2021,73.4,73.4,-0.0
AC,2022,73.4,74.1,-0.9
AC,2024,142.9,143.6,-0.5
AC,2025,142.9,143.6,-0.5
AP,2006,86.2,273.9,-68.5
AP,2007,86.2,274.0,-68.5
AP,2008,86.9,274.0,-68.3
AP,2009,86.9,296.2,-70.7
AP,2010,88.6,296.2,-70.1
AP,2011,88.6,297.9,-70.3
AP,2012,88.6,297.9,-70.3
AP,2013,93.2,302.5,-69.2
AP,2014,738.2,843.9,-12.5
AP,2015,750.7,940.8,-20.2
AP,2016,969.7,1159.8,-16.4
AP,2017,973.7,1183.4,-17.7
AP,2018,973.7,1037.8,-6.2
AP,2019,973.7,992.2,-1.9
AP,2020,973.7,1082.2,-10.0
AP,2021,973.7,1081.9,-10.0
AP,2022,973.7,973.7,-0.0
AP,2024,973.7,973.7,-0.0
AP,2025,973.7,973.7,-0.0
AM,2006,951.5,2105.2,-54.8
AM,2007,951.5,1904.4,-50.0
AM,2008,972.3,2044.3,-52.4
AM,2009,977.4,2129.9,-54.1
AM,2010,978.2,2139.9,-54.3
AM,2011,979.8,2174.9,-54.9
AM,2012,984.5,2259.9,-56.4
AM,2013,998.0,2262.8,-55.9
AM,2014,1001.7,2259.0,-55.7
AM,2015,1001.7,2262.8,-55.7
AM,2016,1001.7,2303.8,-56.5
AM,2017,1592.5,2279.1,-30.1
AM,2018,1592.5,2190.9,-27.3
AM,2019,1755.9,2341.3,-25.0
AM,2020,1990.9,2341.4,-15.0
AM,2021,2110.5,2347.5,-10.1
AM,2022,2149.3,2008.6,7.0
AM,2024,2210.8,2089.7,5.8
AM,2025,2212.1,2166.0,2.1
MA,2006,7.5,247.6,-97.0
MA,2007,7.5,247.1,-97.0
MA,2008,20.7,254.3,-91.9
MA,2009,95.9,265.2,-63.8
MA,2010,429.1,672.1,-36.2
MA,2011,1516.1,1180.5,28.4
MA,2012,1521.1,1591.3,-4.4
MA,2013,2879.8,3027.8,-4.9
MA,2014,3134.7,3054.0,2.6
MA,2015,3138.1,3073.6,2.1
MA,2016,3656.9,3592.6,1.8
MA,2017,3877.7,3813.4,1.7
MA,2018,3931.9,3899.1,0.8
MA,2019,4083.4,4025.6,1.4
MA,2020,4085.0,4008.7,1.9
MA,2021,4088.2,4009.1,2.0
MA,2022,4453.8,4378.4,1.7
MA,2024,4455.3,4367.8,2.0
MA,2025,4481.4,4481.4,-0.0
MT,2006,1880.3,1917.7,-2.0
MT,2007,1964.3,1984.3,-1.0
MT,2008,2034.7,2027.4,0.4
MT,2009,2140.3,2099.1,2.0
MT,2010,2238.4,2138.5,4.7
MT,2011,2607.7,2584.7,0.9
MT,2012,2636.0,2640.0,-0.2
MT,2013,2797.8,2804.9,-0.3
MT,2014,2822.6,2842.4,-0.7
MT,2015,2839.5,2906.1,-2.3
MT,2016,2978.7,3088.6,-3.6
MT,2017,3024.6,3114.8,-2.9
MT,2018,3037.5,3087.3,-1.6
MT,2019,3902.4,3906.7,-0.1
MT,2020,3933.3,3951.4,-0.5
MT,2021,3986.8,3977.2,0.2
MT,2022,4128.3,4104.3,0.6
MT,2024,4184.3,4180.8,0.1
MT,2025,4236.5,4236.5,-0.0
PA,2006,8697.0,7524.6,15.6
PA,2007,8803.3,8861.2,-0.7
PA,2008,8854.6,8753.6,1.2
PA,2009,8859.7,8716.1,1.6
PA,2010,8947.0,8736.4,2.4
PA,2011,8949.6,8872.7,0.9
PA,2012,8956.6,8885.7,0.8
PA,2013,8962.7,9059.7,-1.1
PA,2014,8962.9,9074.7,-1.2
PA,2015,10805.2,9491.9,13.8
PA,2016,22038.3,12966.4,70.0
PA,2017,22825.6,15834.4,44.2
PA,2018,22827.3,19239.1,18.7
PA,2019,22828.6,22890.5,-0.3
PA,2020,22830.1,22842.2,-0.1
PA,2021,22836.1,22855.5,-0.1
PA,2022,22844.7,22878.4,-0.1
PA,2024,22847.7,22828.9,0.1
PA,2025,22849.0,22837.9,0.0
RO,2006,666.9,888.6,-24.9
RO,2007,692.6,896.9,-22.8
RO,2008,696.9,902.4,-22.8
RO,2009,706.5,914.1,-22.7
RO,2010,707.7,933.2,-24.2
RO,2011,789.9,1007.1,-21.6
RO,2012,4357.9,1630.9,167.2
RO,2013,8111.9,2144.9,278.2
RO,2015,8178.1,6283.5,30.2
RO,2016,8178.1,8017.4,2.0
RO,2017,8195.3,8355.0,-1.9
RO,2018,8195.3,8311.4,-1.4
RO,2019,8196.3,8318.9,-1.5
RO,2020,8196.3,8342.9,-1.8
RO,2021,8197.6,8373.7,-2.1
RO,2022,8208.1,8389.4,-2.2
RO,2024,8210.9,8280.3,-0.8
RO,2025,8213.0,8285.5,-0.9
RR,2006,75.4,118.0,-36.1
RR,2007,75.4,118.1,-36.2
RR,2008,80.8,117.3,-31.1
RR,2009,80.8,127.4,-36.6
RR,2010,101.7,127.4,-20.2
RR,2011,101.7,122.6,-17.0
RR,2012,101.7,122.6,-17.0
RR,2013,101.8,122.6,-17.0
RR,2014,103.5,4745.8,-97.8
RR,2015,259.2,264.3,-2.0
RR,2016,259.3,263.4,-1.5
RR,2017,259.9,263.8,-1.5
RR,2018,259.9,285.6,-9.0
RR,2019,262.2,343.8,-23.7
RR,2020,263.1,347.0,-24.2
RR,2021,263.1,342.4,-23.2
RR,2022,489.2,578.4,-15.4
RR,2024,515.8,615.1,-16.1
RR,2025,515.8,530.4,-2.7
TO,2006,1482.6,1451.9,2.1
TO,2007,1482.6,1468.4,1.0
TO,2008,1534.6,1477.7,3.8
TO,2009,1808.6,1521.2,18.9
TO,2010,1822.9,1795.3,1.5
TO,2011,1837.6,2324.5,-20.9
TO,2012,1838.4,2732.1,-32.7
TO,2013,1922.8,2988.1,-35.7
TO,2014,1924.1,1902.3,1.1
TO,2015,1941.6,1917.8,1.2
TO,2016,1945.2,1932.9,0.6
TO,2017,1945.2,1932.2,0.7
TO,2018,1950.7,1937.8,0.7
TO,2019,1963.7,1950.8,0.7
TO,2020,1973.7,1960.6,0.7
TO,2021,1981.7,1968.6,0.7
TO,2022,1981.9,1968.7,0.7
TO,2024,1983.0,1969.0,0.7
TO,2025,1983.0,1969.0,0.7
