uf,ano,focos_sat_ref
AC,2003,10523
AC,2004,7271
AC,2005,15993
AC,2006,6198
AC,2007,8549
AC,2008,5699
AC,2009,3511
AC,2010,8661
AC,2011,3191
AC,2012,4720
AC,2013,4980
AC,2014,4398
AC,2015,5779
AC,2016,7684
AC,2017,6295
AC,2018,6626
AC,2019,6802
AC,2020,9193
AC,2021,8828
AC,2022,11840
AC,2023,6562
AC,2024,8658
AM,2003,10191
AM,2004,8083
AM,2005,15644
AM,2006,11697
AM,2007,11293
AM,2008,6701
AM,2009,9280
AM,2010,12139
AM,2011,5028
AM,2012,9114
AM,2013,6512
AM,2014,9007
AM,2015,13419
AM,2016,11173
AM,2017,11685
AM,2018,11446
AM,2019,12676
AM,2020,16729
AM,2021,14848
AM,2022,21217
AM,2023,19601
AM,2024,25499
AP,2003,2516
AP,2004,3413
AP,2005,2020
AP,2006,1665
AP,2007,1484
AP,2008,2153
AP,2009,2456
AP,2010,1000
AP,2011,1396
AP,2012,2518
AP,2013,1529
AP,2014,1848
AP,2015,2936
AP,2016,2595
AP,2017,1946
AP,2018,1206
AP,2019,1277
AP,2020,750
AP,2021,676
AP,2022,990
AP,2023,2552
AP,2024,2014
MA,2003,34548
MA,2004,33585
MA,2005,33691
MA,2006,23302
MA,2007,44765
MA,2008,22122
MA,2009,19132
MA,2010,36277
MA,2011,19315
MA,2012,34299
MA,2013,17455
MA,2014,24675
MA,2015,28436
MA,2016,21789
MA,2017,25576
MA,2018,13892
MA,2019,18521
MA,2020,16817
MA,2021,16077
MA,2022,20224
MA,2023,21113
MA,2024,22879
MT,2003,70560
MT,2004,97012
MT,2005,72104
MT,2006,43479
MT,2007,79968
MT,2008,29448
MT,2009,15059
MT,2010,59013
MT,2011,17371
MT,2012,27953
MT,2013,18554
MT,2014,24955
MT,2015,27741
MT,2016,27305
MT,2017,30911
MT,2018,18032
MT,2019,31169
MT,2020,47708
MT,2021,22520
MT,2022,29039
MT,2023,21723
MT,2024,50551
PA,2003,53040
PA,2004,74214
PA,2005,71477
PA,2006,55840
PA,2007,68491
PA,2008,48449
PA,2009,41664
PA,2010,57196
PA,2011,26563
PA,2012,37221
PA,2013,24046
PA,2014,35526
PA,2015,43164
PA,2016,29724
PA,2017,49770
PA,2018,22080
PA,2019,30165
PA,2020,38603
PA,2021,22876
PA,2022,41421
PA,2023,41715
PA,2024,56070
RO,2003,30557
RO,2004,40881
RO,2005,41649
RO,2007,27500
RO,2008,11560
RO,2009,5401
RO,2010,16970
RO,2011,6080
RO,2012,8312
RO,2013,4613
RO,2014,7334
RO,2015,13113
RO,2017,11313
RO,2018,10255
RO,2019,11230
RO,2020,11145
RO,2021,10030
RO,2022,12460
RO,2023,7417
RO,2024,10692
RR,2003,3987
RR,2004,2221
RR,2005,1461
RR,2006,2189
RR,2007,3244
RR,2008,1950
RR,2009,2359
RR,2010,1918
RR,2011,1475
RR,2012,1376
RR,2013,1395
RR,2014,2519
RR,2015,2452
RR,2016,3870
RR,2017,1565
RR,2018,2383
RR,2019,4784
RR,2020,1930
RR,2021,989
RR,2022,1223
RR,2023,2659
RR,2024,5358
TO,2003,12124
TO,2004,15147
TO,2005,16214
TO,2006,10299
TO,2007,25389
TO,2008,10753
TO,2009,6428
TO,2010,29100
TO,2011,10637
TO,2012,19044
TO,2013,9935
TO,2014,14075
TO,2015,15705
TO,2016,14494
TO,2017,15673
TO,2018,8033
TO,2019,13625
TO,2020,12093
TO,2021,10007
TO,2022,12145
TO,2023,9641
TO,2024,17251
