uf,cod_municipio,municipio,taxa
AC,1200013,Acrelândia,79.52
AC,1200054,Assis Brasil,78.18
AC,1200104,Brasiléia,74.78
AC,1200138,Bujari,77.12
AC,1200179,Capixaba,72.95
AC,1200203,Cruzeiro do Sul,80.95
AC,1200252,Epitaciolândia,83.61
AC,1200302,Feijó,77.41
AC,1200328,Jordão,83.82
AC,1200344,Manoel Urbano,58.77
AC,1200351,Marechal Thaumaturgo,80.95
AC,1200336,Mâncio Lima,83.02
AC,1200385,Plácido de Castro,83.92
AC,1200807,Porto Acre,83.68
AC,1200393,Porto Walter,89.11
AC,1200401,Rio Branco,84.23
AC,1200427,Rodrigues Alves,85.97
AC,1200435,Santa Rosa do Purus,78.1
AC,1200500,Sena Madureira,78.8
AC,1200450,Senador Guiomard,89.12
AC,1200609,Tarauacá,78.14
AC,1200708,Xapuri,71.0
AM,1300029,Alvarães,83.78
AM,1300060,Amaturá,89.02
AM,1300086,Anamã,91.89
AM,1300102,Anori,85.76
AM,1300144,Apuí,76.32
AM,1300201,Atalaia do Norte,78.49
AM,1300300,Autazes,79.19
AM,1300409,Barcelos,69.39
AM,1300508,Barreirinha,89.64
AM,1300607,Benjamin Constant,86.69
AM,1300631,Beruri,83.5
AM,1300680,Boa Vista do Ramos,84.74
AM,1300706,Boca do Acre,70.99
AM,1300805,Borba,81.15
AM,1300839,Caapiranga,84.01
AM,1300904,Canutama,75.46
AM,1301001,Carauari,82.91
AM,1301100,Careiro,84.09
AM,1301159,Careiro da Várzea,85.93
AM,1301209,Coari,82.88
AM,1301308,Codajás,76.68
AM,1301407,Eirunepé,78.09
AM,1301506,Envira,75.09
AM,1301605,Fonte Boa,83.58
AM,1301654,Guajará,76.35
AM,1301704,Humaitá,79.0
AM,1301803,Ipixuna,71.44
AM,1301852,Iranduba,89.42
AM,1301902,Itacoatiara,86.28
AM,1301951,Itamarati,81.68
AM,1302009,Itapiranga,86.58
AM,1302108,Japurá,82.48
AM,1302207,Juruá,90.54
AM,1302306,Jutaí,79.17
AM,1302405,Lábrea,78.69
AM,1302504,Manacapuru,85.57
AM,1302553,Manaquiri,84.64
AM,1302603,Manaus,85.19
AM,1302702,Manicoré,79.43
AM,1302801,Maraã,80.42
AM,1302900,Maués,85.62
AM,1303007,Nhamundá,77.98
AM,1303106,Nova Olinda do Norte,82.49
AM,1303205,Novo Airão,77.19
AM,1303304,Novo Aripuanã,78.09
AM,1303403,Parintins,90.88
AM,1303502,Pauini,66.24
AM,1303536,Presidente Figueiredo,87.56
AM,1303569,Rio Preto da Eva,88.54
AM,1303601,Santa Isabel do Rio Negro,78.15
AM,1303700,Santo Antônio do Içá,83.98
AM,1304005,Silves,81.74
AM,1303809,São Gabriel da Cachoeira,84.41
AM,1303908,São Paulo de Olivença,74.82
AM,1303957,São Sebastião do Uatumã,82.84
AM,1304062,Tabatinga,87.97
AM,1304104,Tapauá,71.93
AM,1304203,Tefé,82.95
AM,1304237,Tonantins,74.34
AM,1304260,Uarini,74.36
AM,1304302,Urucará,91.17
AM,1304401,Urucurituba,77.26
AP,1600105,Amapá,82.99
AP,1600204,Calçoene,81.84
AP,1600212,Cutias,84.36
AP,1600238,Ferreira Gomes,93.28
AP,1600253,Itaubal,76.74
AP,1600279,Laranjal do Jari,90.0
AP,1600303,Macapá,81.32
AP,1600402,Mazagão,81.06
