uf,etapa,ano,ideb,meta,atingiu
AC,anos finais,2005,3.5,,
AC,anos finais,2007,3.8,3.5,1
AC,anos finais,2009,4.1,3.7,1
AC,anos finais,2011,4.2,4.0,1
AC,anos finais,2013,4.4,4.4,1
AC,anos finais,2015,4.5,4.8,0
AC,anos finais,2017,4.7,5.0,0
AC,anos finais,2019,4.9,5.3,0
AC,anos finais,2021,4.8,5.5,0
AC,anos finais,2023,4.8,,
AC,anos finais,2025,4.9,,
AC,anos iniciais,2005,3.4,,
AC,anos iniciais,2007,3.8,3.5,1
AC,anos iniciais,2009,4.3,3.8,1
AC,anos iniciais,2011,4.6,4.3,1
AC,anos iniciais,2013,5.1,4.5,1
AC,anos iniciais,2015,5.4,4.8,1
AC,anos iniciais,2017,5.8,5.1,1
AC,anos iniciais,2019,5.9,5.4,1
AC,anos iniciais,2021,5.5,5.7,0
AC,anos iniciais,2023,5.8,,
AC,anos iniciais,2025,6.3,,
AC,ensino médio,2005,3.2,,
AC,ensino médio,2007,3.5,3.2,1
AC,ensino médio,2009,3.5,3.3,1
AC,ensino médio,2011,3.4,3.5,0
AC,ensino médio,2013,3.4,3.8,0
AC,ensino médio,2015,3.6,4.1,0
AC,ensino médio,2017,3.8,4.5,0
AC,ensino médio,2019,3.9,4.8,0
AC,ensino médio,2021,4.0,5.0,0
AC,ensino médio,2023,4.0,,
AC,ensino médio,2025,4.2,,
AM,anos finais,2005,2.7,,
AM,anos finais,2007,3.3,2.8,1
AM,anos finais,2009,3.5,2.9,1
AM,anos finais,2011,3.8,3.2,1
AM,anos finais,2013,3.9,3.6,1
AM,anos finais,2015,4.4,4.0,1
AM,anos finais,2017,4.5,4.2,1
AM,anos finais,2019,4.6,4.5,1
AM,anos finais,2021,4.7,4.8,0
AM,anos finais,2023,4.8,,
AM,anos finais,2025,4.9,,
AM,anos iniciais,2005,3.1,,
AM,anos iniciais,2007,3.6,3.1,1
AM,anos iniciais,2009,3.9,3.5,1
AM,anos iniciais,2011,4.3,3.9,1
AM,anos iniciais,2013,4.7,4.2,1
AM,anos iniciais,2015,5.2,4.5,1
AM,anos iniciais,2017,5.4,4.8,1
AM,anos iniciais,2019,5.5,5.1,1
AM,anos iniciais,2021,5.4,5.4,1
AM,anos iniciais,2023,5.7,,
AM,anos iniciais,2025,6.0,,
AM,ensino médio,2005,2.4,,
AM,ensino médio,2007,2.9,2.4,1
AM,ensino médio,2009,3.3,2.5,1
AM,ensino médio,2011,3.5,2.7,1
AM,ensino médio,2013,3.2,3.0,1
AM,ensino médio,2015,3.7,3.3,1
AM,ensino médio,2017,3.5,3.7,0
AM,ensino médio,2019,3.6,4.0,0
AM,ensino médio,2021,3.7,4.2,0
AM,ensino médio,2023,3.8,,
AM,ensino médio,2025,3.8,,
AP,anos finais,2005,3.5,,
AP,anos finais,2007,3.5,3.6,0
AP,anos finais,2009,3.6,3.7,0
AP,anos finais,2011,3.7,4.0,0
AP,anos finais,2013,3.6,4.4,0
AP,anos finais,2015,3.7,4.8,0
AP,anos finais,2017,3.8,5.0,0
AP,anos finais,2019,4.0,5.3,0
AP,anos finais,2021,4.1,5.5,0
AP,anos finais,2023,4.3,,
AP,anos finais,2025,4.6,,
AP,anos iniciais,2005,3.2,,
AP,anos iniciais,2007,3.4,3.2,1
AP,anos iniciais,2009,3.8,3.6,1
AP,anos iniciais,2011,4.1,4.0,1
AP,anos iniciais,2013,4.0,4.3,0
AP,anos iniciais,2015,4.5,4.6,0
AP,anos iniciais,2017,4.6,4.9,0
AP,anos iniciais,2019,4.9,5.2,0
AP,anos iniciais,2021,4.9,5.4,0
AP,anos iniciais,2023,5.0,,
AP,anos iniciais,2025,5.5,,
AP,ensino médio,2005,2.9,,
AP,ensino médio,2007,2.8,2.9,0
AP,ensino médio,2009,3.1,3.0,1
AP,ensino médio,2011,3.1,3.2,0
AP,ensino médio,2013,3.0,3.5,0
AP,ensino médio,2015,3.3,3.8,0
AP,ensino médio,2017,3.2,4.3,0
AP,ensino médio,2019,3.4,4.5,0
AP,ensino médio,2021,3.3,4.8,0
AP,ensino médio,2023,3.8,,
AP,ensino médio,2025,4.0,,
MA,anos finais,2005,3.0,,
MA,anos finais,2007,3.3,3.0,1
MA,anos finais,2009,3.6,3.2,1
MA,anos finais,2011,3.6,3.5,1
MA,anos finais,2013,3.6,3.9,0
MA,anos finais,2015,3.8,4.2,0
MA,anos finais,2017,3.9,4.5,0
MA,anos finais,2019,4.2,4.8,0
MA,anos finais,2021,4.3,5.0,0
MA,anos finais,2023,4.5,,
MA,anos finais,2025,4.7,,
MA,anos iniciais,2005,2.9,,
MA,anos iniciais,2007,3.7,2.9,1
MA,anos iniciais,2009,3.9,3.3,1
MA,anos iniciais,2011,4.1,3.7,1
MA,anos iniciais,2013,4.1,4.0,1
MA,anos iniciais,2015,4.6,4.2,1
MA,anos iniciais,2017,4.8,4.5,1
MA,anos iniciais,2019,5.0,4.8,1
MA,anos iniciais,2021,5.0,5.2,0
MA,anos iniciais,2023,5.4,,
MA,anos iniciais,2025,5.7,,
MA,ensino médio,2005,2.7,,
MA,ensino médio,2007,3.0,2.8,1
MA,ensino médio,2009,3.2,2.9,1
MA,ensino médio,2011,3.1,3.0,1
MA,ensino médio,2013,3.0,3.3,0
MA,ensino médio,2015,3.3,3.6,0
