uf,ano,obitos_evitaveis_menor5
AC,1996,495
AC,1997,458
AC,1998,536
AC,1999,416
AC,2000,560
AC,2001,423
AC,2002,396
AC,2003,384
AC,2004,410
AC,2005,454
AC,2006,399
AC,2007,409
AC,2008,380
AC,2009,386
AC,2010,342
AC,2011,315
AC,2012,328
AC,2013,340
AC,2014,334
AC,2015,331
AC,2016,298
AC,2017,272
AC,2018,322
AC,2019,316
AC,2020,284
AC,2021,329
AC,2022,299
AC,2023,299
AC,2024,298
AC,2025,294
AC,2026,114
AM,1996,1822
AM,1997,1859
AM,1998,2009
AM,1999,2235
AM,2000,2266
AM,2001,2053
AM,2002,2006
AM,2003,1872
AM,2004,1674
AM,2005,1672
AM,2006,1690
AM,2007,1545
AM,2008,1542
AM,2009,1630
AM,2010,1476
AM,2011,1452
AM,2012,1569
AM,2013,1651
AM,2014,1563
AM,2015,1498
AM,2016,1478
AM,2017,1539
AM,2018,1510
AM,2019,1488
AM,2020,1258
AM,2021,1410
AM,2022,1411
AM,2023,1494
AM,2024,1287
AM,2025,1346
AM,2026,437
AP,1996,417
AP,1997,447
AP,1998,369
AP,1999,408
AP,2000,358
AP,2001,390
AP,2002,403
AP,2003,348
AP,2004,359
AP,2005,327
AP,2006,352
AP,2007,328
AP,2008,385
AP,2009,373
AP,2010,332
AP,2011,369
AP,2012,342
AP,2013,361
AP,2014,362
AP,2015,305
AP,2016,334
AP,2017,367
AP,2018,334
AP,2019,347
AP,2020,304
AP,2021,346
AP,2022,297
AP,2023,336
AP,2024,264
AP,2025,262
AP,2026,80
MA,1996,1267
MA,1997,1492
MA,1998,1834
MA,1999,1946
MA,2000,2347
MA,2001,2762
MA,2002,3001
MA,2003,3057
MA,2004,2747
MA,2005,2972
MA,2006,2730
MA,2007,2656
MA,2008,2560
MA,2009,2443
MA,2010,2257
MA,2011,2318
MA,2012,2020
MA,2013,2237
MA,2014,2135
MA,2015,2065
MA,2016,1940
MA,2017,2095
MA,2018,1978
MA,2019,1920
MA,2020,1717
MA,2021,1735
MA,2022,1779
MA,2023,1724
MA,2024,1523
MA,2025,1501
MA,2026,577
MT,1996,1186
MT,1997,1156
MT,1998,1291
MT,1999,1302
MT,2000,1333
MT,2001,1180
MT,2002,1161
MT,2003,1106
MT,2004,1164
MT,2005,1139
MT,2006,1011
MT,2007,935
MT,2008,966
MT,2009,990
MT,2010,905
MT,2011,893
MT,2012,879
MT,2013,957
MT,2014,1001
MT,2015,960
MT,2016,919
MT,2017,885
MT,2018,860
MT,2019,890
MT,2020,821
MT,2021,892
MT,2022,1017
MT,2023,1014
MT,2024,977
MT,2025,978
MT,2026,365
PA,1996,2739
PA,1997,2941
PA,1998,3287
PA,1999,3571
PA,2000,3804
PA,2001,3900
PA,2002,3613
PA,2003,3931
PA,2004,3851
PA,2005,3689
PA,2006,3594
PA,2007,3361
PA,2008,3312
PA,2009,3169
PA,2010,3080
PA,2011,2929
PA,2012,2826
PA,2013,2737
PA,2014,2662
PA,2015,2517
PA,2016,2592
PA,2017,2525
PA,2018,2493
PA,2019,2491
PA,2020,2336
PA,2021,2334
PA,2022,2273
PA,2023,2289
PA,2024,2199
PA,2025,2125
PA,2026,784
RO,1996,769
RO,1997,927
RO,1998,982
RO,1999,899
RO,2000,837
RO,2001,768
RO,2002,728
RO,2003,741
RO,2004,679
RO,2005,616
RO,2006,561
RO,2007,504
RO,2008,522
RO,2009,528
RO,2010,554
RO,2011,443
RO,2012,424
RO,2013,455
RO,2014,452
RO,2015,446
RO,2016,419
RO,2017,405
RO,2018,402
RO,2019,367
RO,2020,382
RO,2021,369
RO,2022,403
RO,2023,355
RO,2024,362
RO,2025,355
RO,2026,101
RR,1996,287
RR,1997,187
RR,1998,219
RR,1999,274
RR,2000,241
RR,2001,204
RR,2002,148
RR,2003,196
RR,2004,231
RR,2005,228
RR,2006,256
RR,2007,199
RR,2008,201
RR,2009,222
RR,2010,158
RR,2011,159
RR,2012,224
RR,2013,258
RR,2014,259
RR,2015,218
RR,2016,265
RR,2017,251
RR,2018,320
RR,2019,328
RR,2020,309
RR,2021,357
RR,2022,322
RR,2023,437
RR,2024,300
RR,2025,348
RR,2026,90
TO,1996,669
TO,1997,620
TO,1998,665
TO,1999,690
TO,2000,723
TO,2001,709
TO,2002,615
TO,2003,621
TO,2004,570
TO,2005,543
TO,2006,550
TO,2007,551
TO,2008,496
TO,2009,489
TO,2010,484
TO,2011,468
TO,2012,416
TO,2013,418
TO,2014,381
TO,2015,392
TO,2016,366
TO,2017,370
TO,2018,389
TO,2019,345
TO,2020,312
TO,2021,363
TO,2022,349
TO,2023,334
TO,2024,367
TO,2025,333
TO,2026,131
