uf,ano,grupo,valor_mil_rs,quantidade_t
AC,2015,madeireiro,33213.0,781701.0
AC,2015,nao_madeireiro,47541.0,20178.0
AC,2016,madeireiro,24574.0,618702.0
AC,2016,nao_madeireiro,38304.0,13745.0
AC,2017,madeireiro,23915.0,592367.0
AC,2017,nao_madeireiro,33264.0,10041.0
AC,2018,madeireiro,22419.0,572329.0
AC,2018,nao_madeireiro,41461.0,12804.0
AC,2019,madeireiro,28081.0,636575.0
AC,2019,nao_madeireiro,44487.0,12663.0
AC,2020,madeireiro,31838.0,644951.0
AC,2020,nao_madeireiro,27438.0,12143.0
AC,2021,madeireiro,51922.0,788944.0
AC,2021,nao_madeireiro,63617.0,14289.0
AC,2022,madeireiro,51924.0,740226.0
AC,2022,nao_madeireiro,71208.0,14539.0
AC,2023,madeireiro,27807.0,478784.0
AC,2023,nao_madeireiro,85989.0,14831.0
AC,2024,madeireiro,34205.0,483669.0
AC,2024,nao_madeireiro,81638.0,15436.0
AM,2015,madeireiro,134597.0,1558206.0
AM,2015,nao_madeireiro,163533.0,82907.0
AM,2016,madeireiro,166538.0,1729742.0
AM,2016,nao_madeireiro,159597.0,76875.0
AM,2017,madeireiro,159562.0,1528436.0
AM,2017,nao_madeireiro,131919.0,63840.0
AM,2018,madeireiro,161547.0,1455574.0
AM,2018,nao_madeireiro,141383.0,63351.0
AM,2019,madeireiro,165947.0,1439172.0
AM,2019,nao_madeireiro,124759.0,60574.0
AM,2020,madeireiro,158711.0,1438948.0
AM,2020,nao_madeireiro,126044.0,60554.0
AM,2021,madeireiro,146800.0,1445324.0
AM,2021,nao_madeireiro,154014.0,62547.0
AM,2022,madeireiro,148934.0,1450514.0
AM,2022,nao_madeireiro,194578.0,74100.0
AM,2023,madeireiro,148804.0,1470938.0
AM,2023,nao_madeireiro,202509.0,61195.0
AM,2024,madeireiro,140972.0,1228906.0
AM,2024,nao_madeireiro,235169.0,73897.0
AP,2015,madeireiro,35081.0,1133851.0
AP,2015,nao_madeireiro,3964.0,2908.0
AP,2016,madeireiro,40660.0,1283672.0
AP,2016,nao_madeireiro,4695.0,3134.0
AP,2017,madeireiro,45367.0,1389014.0
AP,2017,nao_madeireiro,5300.0,3265.0
AP,2018,madeireiro,50305.0,1478592.0
AP,2018,nao_madeireiro,6193.0,3327.0
AP,2019,madeireiro,53273.0,1556359.0
AP,2019,nao_madeireiro,6903.0,3478.0
AP,2020,madeireiro,52021.0,1530537.0
AP,2020,nao_madeireiro,7328.0,3497.0
AP,2021,madeireiro,53410.0,1446950.0
AP,2021,nao_madeireiro,8803.0,3618.0
AP,2022,madeireiro,57698.0,1483789.0
AP,2022,nao_madeireiro,10357.0,3711.0
AP,2023,madeireiro,59459.0,1479444.0
AP,2023,nao_madeireiro,11083.0,3693.0
AP,2024,madeireiro,66685.0,1598605.0
AP,2024,nao_madeireiro,13249.0,4004.0
MA,2015,madeireiro,224824.0,2697943.0
MA,2015,nao_madeireiro,127868.0,89701.0
MA,2016,madeireiro,186592.0,2366507.0
MA,2016,nao_madeireiro,116482.0,76055.0
MA,2017,madeireiro,171020.0,2138900.0
MA,2017,nao_madeireiro,121480.0,69969.0
MA,2018,madeireiro,163417.0,1895825.0
MA,2018,nao_madeireiro,120045.0,66055.0
MA,2019,madeireiro,155338.0,1817903.0
MA,2019,nao_madeireiro,119774.0,64254.0
MA,2020,madeireiro,164677.0,1799478.0
MA,2020,nao_madeireiro,104931.0,53764.0
MA,2021,madeireiro,212377.0,1770671.0
MA,2021,nao_madeireiro,106457.0,48386.0
MA,2022,madeireiro,223020.0,1719017.0
MA,2022,nao_madeireiro,114431.0,47466.0
MA,2023,madeireiro,180173.0,1672364.0
MA,2023,nao_madeireiro,119934.0,43439.0
MA,2024,madeireiro,302917.0,1515089.0
MA,2024,nao_madeireiro,122575.0,40220.0
MT,2015,madeireiro,619364.0,4857014.0
MT,2015,nao_madeireiro,7865.0,3310.0
MT,2016,madeireiro,607795.0,5055473.0
MT,2016,nao_madeireiro,7236.0,2123.0
MT,2017,madeireiro,660287.0,5321497.0
MT,2017,nao_madeireiro,11232.0,2592.0
MT,2018,madeireiro,610673.0,5215965.0
MT,2018,nao_madeireiro,12942.0,3038.0
MT,2019,madeireiro,658835.0,5098313.0
MT,2019,nao_madeireiro,13928.0,3091.0
MT,2020,madeireiro,693853.0,5290859.0
MT,2020,nao_madeireiro,11811.0,2141.0
MT,2021,madeireiro,893242.0,6042766.0
MT,2021,nao_madeireiro,14508.0,2237.0
MT,2022,madeireiro,922077.0,6321593.0
MT,2022,nao_madeireiro,18309.0,2599.0
MT,2023,madeireiro,636337.0,3951399.0
MT,2023,nao_madeireiro,15137.0,2848.0
MT,2024,madeireiro,1029923.0,6318794.0
MT,2024,nao_madeireiro,12720.0,2102.0
PA,2015,madeireiro,1089103.0,6352598.0
PA,2015,nao_madeireiro,368250.0,139724.0
PA,2016,madeireiro,833240.0,5160109.0
PA,2016,nao_madeireiro,420478.0,144264.0
PA,2017,madeireiro,848145.0,5106554.0
PA,2017,nao_madeireiro,494432.0,151716.0
PA,2018,madeireiro,820631.0,4747012.0
PA,2018,nao_madeireiro,513278.0,161771.0
PA,2019,madeireiro,1008283.0,5359289.0
PA,2019,nao_madeireiro,526469.0,165868.0
PA,2020,madeireiro,967617.0,5154173.0
PA,2020,nao_madeireiro,614805.0,165531.0
PA,2021,madeireiro,1278851.0,5510044.0
PA,2021,nao_madeireiro,661303.0,167286.0
PA,2022,madeireiro,1710914.0,6316455.0
PA,2022,nao_madeireiro,701725.0,180809.0
PA,2023,madeireiro,1905051.0,6448045.0
PA,2023,nao_madeireiro,710392.0,183372.0
PA,2024,madeireiro,1832428.0,5915215.0
PA,2024,nao_madeireiro,902652.0,183944.0
RO,2015,madeireiro,174823.0,2347434.0
RO,2015,nao_madeireiro,10508.0,4086.0
RO,2016,madeireiro,175896.0,1485551.0
RO,2016,nao_madeireiro,10513.0,4112.0
