uf,ano,cod_produto,produto,quantidade_t,valor_mil_rs
AC,2015,11296,1.10 - Outros,543.0,330.0
AC,2015,3402,1 - Alimentícios,20035.0,46701.0
AC,2015,3403,1.1 - Açaí (fruto),5454.0,7086.0
AC,2015,3405,1.3 - Castanha-do-pará,14038.0,39285.0
AC,2015,3416,3 - Borrachas,132.0,824.0
AC,2015,3418,3.2 - Hevea (látex coagulado),80.0,417.0
AC,2015,3419,3.3 - Hevea (látex líquido),52.0,407.0
AC,2015,3423,5 - Fibras,1.0,2.0
AC,2015,3426,5.3 - Piaçava,1.0,2.0
AC,2015,3433,7.1 - Carvão vegetal,2469.0,2225.0
AC,2015,3434,7.2 - Lenha,493919.0,6485.0
AC,2015,3435,7.3 - Madeira em tora,285313.0,24503.0
AC,2015,3438,8 - Oleaginosos,10.0,14.0
AC,2015,3440,8.2 - Copaíba (óleo),0.0,8.0
AC,2015,3446,8.8 - Outros,10.0,6.0
AC,2016,11296,1.10 - Outros,435.0,272.0
AC,2016,3402,1 - Alimentícios,13636.0,37653.0
AC,2016,3403,1.1 - Açaí (fruto),4459.0,5568.0
AC,2016,3405,1.3 - Castanha-do-pará,8742.0,31813.0
AC,2016,3416,3 - Borrachas,107.0,643.0
AC,2016,3418,3.2 - Hevea (látex coagulado),103.0,612.0
AC,2016,3419,3.3 - Hevea (látex líquido),4.0,31.0
AC,2016,3423,5 - Fibras,2.0,3.0
AC,2016,3426,5.3 - Piaçava,2.0,3.0
AC,2016,3433,7.1 - Carvão vegetal,2572.0,2245.0
AC,2016,3434,7.2 - Lenha,406770.0,6100.0
AC,2016,3435,7.3 - Madeira em tora,209360.0,16229.0
AC,2016,3438,8 - Oleaginosos,0.0,5.0
AC,2016,3440,8.2 - Copaíba (óleo),0.0,5.0
AC,2017,11296,1.10 - Outros,393.0,249.0
AC,2017,3402,1 - Alimentícios,9848.0,32206.0
AC,2017,3403,1.1 - Açaí (fruto),4665.0,5333.0
AC,2017,3405,1.3 - Castanha-do-pará,4790.0,26624.0
AC,2017,3416,3 - Borrachas,191.0,1052.0
AC,2017,3418,3.2 - Hevea (látex coagulado),181.0,975.0
