uf,ano,cnae,cnae_nome,tabela,unidades_locais,empresas,pessoal_ocupado_3112,valor_bruto_prod_ind_mil_rs,valor_transf_ind_mil_rs,receita_liquida_vendas_mil_rs,salarios_remuneracoes_mil_rs
AC,2023,116880,B Indústrias extrativas,1849,7.0,,34.0,3308.0,2777.0,3454.0,
AC,2024,116880,B Indústrias extrativas,10457,4.0,4.0,58.0,7031.0,4717.0,7136.0,
AM,2023,116880,B Indústrias extrativas,1849,16.0,,2031.0,5210037.0,4403768.0,6307911.0,
AM,2024,116880,B Indústrias extrativas,10457,14.0,11.0,1997.0,4942151.0,3981341.0,5010566.0,
AP,2023,116880,B Indústrias extrativas,1849,10.0,,172.0,98235.0,55147.0,98952.0,
AP,2024,116880,B Indústrias extrativas,10457,8.0,8.0,138.0,43531.0,32505.0,43531.0,
MA,2023,116880,B Indústrias extrativas,1849,58.0,,3328.0,4948642.0,2220292.0,4892164.0,
MA,2024,116880,B Indústrias extrativas,10457,49.0,43.0,3248.0,4239827.0,2020405.0,3943947.0,
MT,2023,116880,B Indústrias extrativas,1849,166.0,,4993.0,3500415.0,1975650.0,3482166.0,
MT,2024,116880,B Indústrias extrativas,10457,169.0,159.0,6075.0,3696239.0,2072184.0,3672277.0,
PA,2023,116880,B Indústrias extrativas,1849,98.0,,24660.0,84954260.0,45790843.0,84636335.0,
PA,2024,116880,B Indústrias extrativas,10457,103.0,75.0,26278.0,94983314.0,46881584.0,94671039.0,
RO,2023,116880,B Indústrias extrativas,1849,78.0,,1737.0,1000559.0,304357.0,997841.0,
RO,2024,116880,B Indústrias extrativas,10457,71.0,63.0,1581.0,1035842.0,313135.0,1106908.0,
RR,2023,116880,B Indústrias extrativas,1849,6.0,,148.0,23437.0,12281.0,23437.0,
RR,2024,116880,B Indústrias extrativas,10457,7.0,5.0,137.0,38099.0,25152.0,38416.0,
TO,2023,116880,B Indústrias extrativas,1849,51.0,,1462.0,973019.0,686617.0,968287.0,
TO,2024,116880,B Indústrias extrativas,10457,57.0,56.0,1608.0,862797.0,569293.0,863738.0,
AC,2023,116881,05 Extração de carvão mineral,1849,,,,,,,
