ano,uf,divisao_cnae,estabelecimentos_ativos,vinculos_ativos
2018,AC,01,970,3730
2018,AC,02,17,165
2018,AC,03,9,29
2018,AC,05,1,1
2018,AC,07,1,1
2018,AC,08,14,59
2018,AC,09,1,0
2018,AC,10,177,2583
2018,AC,11,17,330
2018,AC,13,3,8
2018,AC,14,39,168
2018,AC,15,3,118
2018,AC,16,44,553
2018,AC,17,4,6
2018,AC,18,36,173
2018,AC,19,1,11
2018,AC,20,8,58
2018,AC,21,1,3
2018,AC,22,14,171
2018,AC,23,74,751
2018,AC,24,1,4
2018,AC,25,46,111
2018,AC,26,1,3
2018,AC,27,4,14
2018,AC,28,1,8
2018,AC,29,15,60
2018,AC,30,2,37
2018,AC,31,49,158
2018,AC,32,19,57
2018,AC,33,39,51
2018,AC,35,5,457
2018,AC,36,13,938
2018,AC,38,11,219
2018,AC,41,449,1893
2018,AC,42,68,1556
2018,AC,43,118,1982
2018,AC,45,460,2513
2018,AC,46,412,3369
2018,AC,47,3569,19336
2018,AC,49,200,1821
2018,AC,50,13,50
2018,AC,51,9,120
2018,AC,52,44,358
2018,AC,53,39,363
2018,AC,55,113,871
2018,AC,56,484,2360
2018,AC,58,15,104
2018,AC,59,9,7
2018,AC,60,22,322
2018,AC,61,46,244
2018,AC,62,19,54
2018,AC,63,16,144
2018,AC,64,100,978
2018,AC,65,10,127
2018,AC,66,28,170
2018,AC,68,53,89
2018,AC,69,261,830
2018,AC,70,23,90
2018,AC,71,59,468
2018,AC,72,5,137
2018,AC,73,50,127
2018,AC,74,35,89
2018,AC,75,10,23
2018,AC,77,66,161
2018,AC,78,12,811
2018,AC,79,37,123
2018,AC,80,20,1915
2018,AC,81,104,5202
2018,AC,82,165,3079
2018,AC,84,136,50742
2018,AC,85,598,5727
2018,AC,86,462,4137
2018,AC,87,9,15
2018,AC,88,15,481
2018,AC,90,6,16
2018,AC,91,3,237
2018,AC,93,94,355
2018,AC,94,478,1173
2018,AC,95,67,150
2018,AC,96,126,332
2018,AC,97,9,14
2018,AC,99,1,4
2018,AM,01,383,3802
2018,AM,02,47,195
2018,AM,03,33,65
2018,AM,06,8,441
2018,AM,07,5,873
2018,AM,08,18,153
2018,AM,09,11,417
2018,AM,10,365,4888
2018,AM,11,35,3215
2018,AM,13,30,806
2018,AM,14,88,761
2018,AM,15,9,148
2018,AM,16,121,1234
2018,AM,17,61,2608
2018,AM,18,146,1139
2018,AM,19,9,442
2018,AM,20,72,2274
2018,AM,21,6,655
2018,AM,22,139,8860
2018,AM,23,103,1351
2018,AM,24,22,952
2018,AM,25,193,5181
2018,AM,26,122,26204
2018,AM,27,37,4835
2018,AM,28,45,3366
2018,AM,29,34,3997
2018,AM,30,90,11994
2018,AM,31,91,922
2018,AM,32,63,1952
2018,AM,33,313,1730
2018,AM,35,123,2813
2018,AM,36,31,1276
2018,AM,37,18,72
2018,AM,38,72,2458
2018,AM,39,5,89
2018,AM,41,618,6669
2018,AM,42,164,3478
