uf,ano,mes_ref,municipios_com_telessaude,estabelecimentos,pct_municipios
AC,2014,12,1,1,4.5
AC,2015,12,1,1,4.5
AC,2016,12,1,1,4.5
AC,2017,12,1,1,4.5
AC,2018,12,1,1,4.5
AC,2019,12,1,1,4.5
AC,2020,12,1,1,4.5
AC,2021,12,1,1,4.5
AC,2022,12,1,1,4.5
AC,2023,12,1,1,4.5
AC,2024,12,1,1,4.5
AC,2025,12,1,1,4.5
AC,2026,7,1,1,4.5
AM,2012,12,1,1,1.6
AM,2013,12,2,2,3.2
AM,2014,12,3,3,4.8
AM,2015,12,4,4,6.5
AM,2016,12,4,4,6.5
AM,2017,12,7,7,11.3
AM,2018,12,9,9,14.5
AM,2019,12,9,9,14.5
AM,2020,12,9,9,14.5
AM,2021,12,8,9,12.9
AM,2022,12,8,9,12.9
AM,2023,12,9,10,14.5
AM,2024,12,9,10,14.5
AM,2025,12,9,13,14.5
AM,2026,7,9,13,14.5
AP,2025,12,1,1,6.2
AP,2026,7,1,1,6.2
MA,2012,12,2,2,0.9
MA,2013,12,3,3,1.4
MA,2014,12,2,2,0.9
MA,2015,12,4,4,1.8
MA,2016,12,4,4,1.8
MA,2017,12,3,3,1.4
MA,2018,12,3,3,1.4
MA,2019,12,3,3,1.4
MA,2020,12,2,2,0.9
MA,2021,12,2,2,0.9
MA,2022,12,2,2,0.9
MA,2023,12,2,2,0.9
MA,2024,12,3,5,1.4
MA,2025,12,3,6,1.4
MA,2026,7,4,8,1.8
MT,2013,12,2,2,1.4
MT,2014,12,2,2,1.4
MT,2015,12,2,2,1.4
MT,2016,12,2,2,1.4
MT,2017,12,2,2,1.4
MT,2018,12,2,2,1.4
MT,2019,12,2,2,1.4
MT,2020,12,4,4,2.8
MT,2021,12,4,4,2.8
MT,2022,12,3,3,2.1
MT,2023,12,3,3,2.1
MT,2024,12,3,4,2.1
MT,2025,12,4,5,2.8
MT,2026,7,6,7,4.3
PA,2012,12,1,1,0.7
PA,2013,12,1,1,0.7
PA,2014,12,1,1,0.7
PA,2015,12,2,2,1.4
PA,2016,12,3,3,2.1
PA,2017,12,4,4,2.8
PA,2018,12,4,4,2.8
PA,2019,12,5,5,3.5
PA,2020,12,6,6,4.2
PA,2021,12,6,6,4.2
PA,2022,12,9,9,6.2
PA,2023,12,10,10,6.9
PA,2024,12,11,14,7.6
PA,2025,12,12,16,8.3
PA,2026,7,13,17,9.0
RO,2013,12,1,1,1.9
RO,2014,12,1,1,1.9
RO,2015,12,1,1,1.9
RO,2016,12,1,1,1.9
RO,2024,12,1,1,1.9
RO,2025,12,1,1,1.9
RO,2026,7,2,2,3.8
RR,2015,12,1,1,6.7
RR,2016,12,1,1,6.7
RR,2017,12,1,1,6.7
RR,2018,12,1,1,6.7
RR,2019,12,1,1,6.7
RR,2020,12,1,1,6.7
RR,2021,12,2,2,13.3
RR,2022,12,2,2,13.3
RR,2023,12,2,2,13.3
RR,2024,12,2,4,13.3
RR,2025,12,2,4,13.3
RR,2026,7,2,4,13.3
TO,2013,12,1,1,0.7
TO,2014,12,1,1,0.7
TO,2015,12,1,1,0.7
TO,2016,12,1,1,0.7
TO,2017,12,1,1,0.7
TO,2018,12,1,1,0.7
TO,2019,12,1,1,0.7
TO,2020,12,1,1,0.7
TO,2021,12,1,1,0.7
TO,2022,12,1,1,0.7
TO,2023,12,1,1,0.7
TO,2024,12,1,1,0.7
TO,2025,12,2,3,1.4
TO,2026,7,2,3,1.4
